Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,8/20/2015,232.06483,230.38424,236.11891,220.75441
BTC,8/21/2015,234.56375,232.06483,236.62541,229.81658
BTC,8/24/2015,227.23233,231.21275,231.79075,224.10816
BTC,8/25/2015,203.18133,227.23233,227.23233,198.22833
BTC,8/26/2015,219.81583,203.18133,226.27733,202.13641
BTC,8/27/2015,224.53608,219.81583,230.39633,219.71124
BTC,8/28/2015,224.18875,224.53608,228.034,219.91025
BTC,8/31/2015,227.18083,230.58541,230.6365,225.32433
BTC,9/1/2015,229.02966,227.18083,231.88441,224.8115
BTC,9/2/2015,226.28841,229.02966,229.47541,225.83066
BTC,9/3/2015,228.35299,226.28841,230.05741,225.66683
BTC,9/4/2015,227.14741,228.35299,228.45141,226.11783
BTC,9/7/2015,239.88,240.70116,243.13633,237.5585
BTC,9/8/2015,242.01891,239.88,243.1965,238.37166
BTC,9/9/2015,244.31383,242.01891,245.83491,241.82775
BTC,9/10/2015,237.99466,244.31383,244.49183,237.41225
BTC,9/11/2015,240.56366,237.99466,240.71991,235.67583
BTC,9/14/2015,229.15808,235.053,235.53075,227.94691
BTC,9/15/2015,230.51091,229.15808,232.4895,227.78025
BTC,9/16/2015,230.98066,230.51091,231.55808,229.40558
BTC,9/17/2015,229.58975,230.98066,231.00908,226.69133
BTC,9/18/2015,233.2385,229.58975,234.61991,228.39008
BTC,9/21/2015,230.75433,231.33733,232.07841,230.51408
BTC,9/22/2015,227.79358,230.75433,230.82908,226.15041
BTC,9/23/2015,231.30983,227.79358,232.10541,224.5965
BTC,9/24/2015,231.09508,231.30983,231.45916,229.15508
BTC,9/25/2015,233.74475,231.09508,235.53625,230.72091
BTC,9/28/2015,237.21116,234.32908,237.42183,232.65083
BTC,9/29/2015,238.56625,237.21116,240.24925,236.21624
BTC,9/30/2015,238.06125,238.56625,240.3205,236.16025
BTC,10/1/2015,237.15191,238.06125,238.11808,235.437
BTC,10/2/2015,238.06358,237.15191,238.95083,235.95725
BTC,10/5/2015,238.82433,238.99883,239.50175,238.24375
BTC,10/6/2015,240.63075,238.82433,241.061,237.21916
BTC,10/7/2015,246.49633,240.63075,247.573,240.61741
BTC,10/8/2015,244.49816,246.49633,246.58683,242.79575
BTC,10/9/2015,243.25675,244.49816,244.70625,242.35816
BTC,10/12/2015,247.65041,245.07,247.91733,244.77208
BTC,10/13/2015,244.57641,247.65041,247.76783,243.88241
BTC,10/14/2015,249.45908,244.57641,250.55283,244.46508
BTC,10/15/2015,254.64216,249.45908,255.94216,249.30916
BTC,10/16/2015,255.72741,254.64216,256.66408,252.89016
BTC,10/19/2015,264.98625,270.04041,271.209,261.38491
BTC,10/20/2015,264.92575,264.98625,265.73075,261.63291
BTC,10/21/2015,270.49541,264.92575,272.21816,264.0165
BTC,10/22/2015,267.46908,270.49541,271.14833,264.11633
BTC,10/23/2015,274.25325,267.46908,278.61383,267.42025
BTC,10/26/2015,284.286,286.86941,294.60916,282.38799
BTC,10/27/2015,287.83091,284.286,291.77658,280.89758
BTC,10/28/2015,300.53566,287.83091,301.96425,286.69941
BTC,10/29/2015,304.32691,300.53566,306.59441,297.70458
BTC,10/30/2015,326.55691,304.32691,326.55691,304.21608
BTC,11/2/2015,325.64666,311.70274,327.71966,311.05791
BTC,11/3/2015,369.51133,325.64666,370.36625,324.83166
BTC,11/4/2015,432.46133,369.51133,434.27575,362.4315
BTC,11/5/2015,434.31683,432.46133,492.40458,374.38666
BTC,11/6/2015,359.586,434.31683,434.31683,355.034
BTC,11/9/2015,370.652,387.775,389.473,361.54
BTC,11/10/2015,376.948,370.652,386.631,366.955
